StandardName	StandardZnfContent	alleva.2021	berg.2010	berg.2011	borel.2012	hussin.2013	jeffreys.2013	ponting.2011
PR064	ZN001_ZN002_ZN003_ZN036_ZN004_ZN005_ZN003_ZN006_ZN007_ZN008_ZN006_ZN009_ZN010	M26	NA	NA	NA	NA	NA	NA
PR065	ZN001_ZN002_ZN003_ZN004_ZN004_ZN005_ZN037_ZN006_ZN007_ZN008_ZN006_ZN009_ZN010	M27	NA	NA	NA	NA	NA	NA
PR066	ZN001_ZN002_ZN003_ZN004_ZN004_ZN005_ZN003_ZN006_ZN011_ZN008_ZN012_ZN015_ZN009_ZN010	M28	NA	NA	NA	NA	NA	NA
PR067	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_zn007_ZN008_ZN012_ZN008_ZN009_ZN010	M29	NA	NA	NA	NA	NA	NA
PR068	ZN001_ZN002_ZN003_ZN004_ZN005_ZN003_ZN006_ZN007_ZN008_zn004_ZN010	M3	NA	NA	NA	NA	NA	NA
PR069	ZN001_ZN038_ZN003_ZN004_ZN004_ZN005_ZN003_ZN006_ZN007_ZN011_ZN006_ZN017_ZN010	M30	NA	NA	NA	NA	NA	NA
PR070	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN007_ZN008_ZN006_zn022_ZN009_ZN010	M31	NA	NA	NA	NA	NA	NA
PR071	ZN001_ZN002_ZN003_zn002_ZN004_ZN005_ZN003_ZN006_ZN007_ZN008_ZN006_ZN009_ZN010	M32	NA	NA	NA	NA	NA	NA
PR072	ZN001_ZN002_ZN003_ZN004_ZN004_ZN028_ZN003_ZN006_ZN007_ZN008_ZN006_ZN009_ZN010	M6	NA	NA	NA	NA	NA	NA
PR073	ZN001_ZN002_ZN003_ZN004_zn002_ZN003_ZN003_ZN006_ZN007_ZN008_ZN006_ZN009_ZN010	M7	NA	NA	NA	NA	NA	NA
PR074	ZN001_ZN002_ZN003_ZN004_ZN004_ZN003_ZN003_ZN006_ZN007_ZN029_ZN006_ZN009_ZN010	M8	NA	NA	NA	NA	NA	NA
PR075	ZN001_ZN002_ZN003_ZN004_ZN004_ZN005_ZN003_ZN006_ZN007_ZN008_ZN006_ZN030_ZN010	M9	NA	NA	NA	NA	NA	NA
